id_str,from_user,text,Hashtags,Target,time
514807571438645000,mingarao,#websem14 ChronoIsidore fait des misères à @spouyllau au pupitre alors que  sur ma machine ça marche nickel :( #effetDémo,#websem14 #effetDémo,@spouyllau,24/09/2014 17:04:24
514801709781385000,seeksanusername,La question de la #màj des données dans les #mashups est LE point sensible #websem14, #màj #mashups #websem14,,24/09/2014 16:41:06
514798524580782000,spouyllau,La construction de « mashups » dans le #websem14 nécessite alignements entre les sources de données, #websem14 ,,24/09/2014 16:28:27
514797280537608000,mingarao,"RT @Pepine: Cette requête SPARQL est une invitation ? 
SELECT * 
WHERE 
{
?piscine ?a ?cesoir.
}
#websem14", #websem14,@Pepine,24/09/2014 16:23:30
514797280537608000,mingarao,"RT @Pepine: Cette requête SPARQL est une invitation ? 
SELECT * 
WHERE 
{
?piscine ?a ?cesoir.
}
#websem14", #websem14,@Pepine,24/09/2014 16:23:30
514788107317948000,seeksanusername,"Ah les expressions régulières !
2014-09-24
[0-9]{4}-[0-9]{2}-[0-9]{2}
#websem14", #websem14,,24/09/2014 15:47:03
514787806968037000,mingarao,"RT @symac: ping #websem14 RT @thalhamm: #BBC publishes its #Linked #Data with references to #Wikidata, #Freebase http://t.co/or0NU3lFYc", #websem14 #BBC #Linked #Data #Wikidata #Freebase ,@symac @thalhamm,24/09/2014 15:45:52
514787496509858000,symac,"ping #websem14 RT @thalhamm: #BBC publishes its #Linked #Data with references to #Wikidata, #Freebase http://t.co/or0NU3lFYc", #websem14 #BBC #Linked #Data #Wikidata #Freebase ,@thalhamm,24/09/2014 15:44:38
514787496509858000,symac,"ping #websem14 RT @thalhamm: #BBC publishes its #Linked #Data with references to #Wikidata, #Freebase http://t.co/or0NU3lFYc", #websem14 #BBC #Linked #Data #Wikidata #Freebase ,@thalhamm,24/09/2014 15:44:38
514774911416799000,requinmignon,#websem14  Kit anti-djihadiste disponible chez http://t.co/3jWEhoBkpD,#websem14 ,,24/09/2014 14:54:37
514772010342564000,mingarao,#websem14 et donc c'est qui #duCoup ? @lespetitescases,#websem14 #duCoup ,@lespetitescases,24/09/2014 14:43:05
514771833879822000,mingarao,@seeksanusername #websem14 en effet (doublement), #websem14 ,@seeksanusername,24/09/2014 14:42:23
514771833879822000,mingarao,@seeksanusername #websem14 en effet (doublement), #websem14 ,@seeksanusername,24/09/2014 14:42:23
514757353821200000,symac,Twinkle semble avoir qq limites pour les req d'aggrégation (COUNT ne passe pas par ex.) #websem14, #websem14,,24/09/2014 13:44:51
514755591626306000,neuromancien,@spouyllau le quad ça roule #websem14 http://t.co/UoqqVStA6d, #websem14 ,@spouyllau,24/09/2014 13:37:51
514752506019463000,spouyllau,"Les quads en RDF, mais dans les dunes http://t.co/SrWBStK7lF #websem14", #websem14,,24/09/2014 13:25:35
514751907580363000,mingarao,RT @spouyllau: On passe du triplet au quadruplet #websem14 http://t.co/7g9efX2SlW, #websem14 ,@spouyllau,24/09/2014 13:23:13
514751576381358000,mingarao,#websem14 notion de graphe nommé permettant de gérer des sous-ensembles de triplets dans un store. 1 triplet ne peut appartenir qu'à un gn,#websem14 ,,24/09/2014 13:21:54
514750964738576000,seeksanusername,Indiquer la provenance grâce au graphe nommé (non exprimable en RDF/XML) pour augmenter la confiance #websem14, #websem14,,24/09/2014 13:19:28
514750964738576000,seeksanusername,Indiquer la provenance grâce au graphe nommé (non exprimable en RDF/XML) pour augmenter la confiance #websem14, #websem14,,24/09/2014 13:19:28
514750464077099000,neuromancien,"sur les quads, ce petit billet de @lespetitescases #websem14 http://t.co/804o4BDd0L", #websem14 ,@lespetitescases,24/09/2014 13:17:28
514749882599748000,gmcs2,RT @spouyllau: On passe du triplet au quadruplet #websem14 http://t.co/7g9efX2SlW, #websem14 ,@spouyllau,24/09/2014 13:15:10
514749455044993000,spouyllau,On passe du triplet au quadruplet #websem14 http://t.co/7g9efX2SlW, #websem14 ,,24/09/2014 13:13:28
514746457359147000,neuromancien,"en sparql, bien souvent mes requêtes ne passent pas le filet #websem14", #websem14,,24/09/2014 13:01:33
514746361045352000,neuromancien,"même si je n'ai pas joué vraiment depuis 10 ans au tennis, je suis sûr que je suis meilleur qu'en sparql #websem14", #websem14,,24/09/2014 13:01:10
514745313157206000,seeksanusername,Dommage que l'on puisse pas mettre de commentaires dans les requêtes #SPARQL #websem14, #SPARQL #websem14,,24/09/2014 12:57:00
514745313157206000,seeksanusername,Dommage que l'on puisse pas mettre de commentaires dans les requêtes #SPARQL #websem14, #SPARQL #websem14,,24/09/2014 12:57:00
514724528346628000,spouyllau,Il est bien twinkle [merci à @symac] @rech_isidore #websem14 #javafan #java #sparql http://t.co/NVcwIm7Rs7… http://t.co/MtTSnvszEq, #websem14 #javafan #java #sparql ,@symac @rech_isidore,24/09/2014 11:34:25
514717808140505000,mingarao,#websem14 #MerciPourCetteRessource http://t.co/GLjYeyZQ8t @seeksanusername,#websem14 #MerciPourCetteRessource ,@seeksanusername,24/09/2014 11:07:43
514714781778186000,neuromancien,la machine a cassé ! mais aussitôt réparé ! #websem14, #websem14,,24/09/2014 10:55:41
514714705299276000,mingarao,"#websem14 #SPARQL ""oups j'ai vidé la base !"" #merci pour la #pause anticipée #bienVu :)",#websem14 #SPARQL #merci #pause #bienVu ,,24/09/2014 10:55:23
514712686417175000,spouyllau,"RT @Pepine: Cette requête SPARQL est une invitation ? 
SELECT * 
WHERE 
{
?piscine ?a ?cesoir.
}
#websem14", #websem14,@Pepine,24/09/2014 10:47:22
514711788601229000,Pepine,"Cette requête SPARQL est une invitation ? 
SELECT * 
WHERE 
{
?piscine ?a ?cesoir.
}
#websem14", #websem14,,24/09/2014 10:43:48
514711470828175000,spouyllau,RT @symac: Un client (en java) pour lancer requêtes SPARQL sans passer par la navigateur : Twinkle http://t.co/OKSRxa1qru #websem14, #websem14,@symac,24/09/2014 10:42:32
514711021987332000,solmineur,RT @spouyllau: Quelques ressources bibliographiques (pour un début) autour du websem en SHS https://t.co/uZTplFmhi7 #websem14, #websem14,@spouyllau,24/09/2014 10:40:45
514710453231313000,symac,Un client (en java) pour lancer requêtes SPARQL sans passer par la navigateur : Twinkle http://t.co/OKSRxa1qru #websem14, #websem14,,24/09/2014 10:38:29
514710453231313000,symac,Un client (en java) pour lancer requêtes SPARQL sans passer par la navigateur : Twinkle http://t.co/OKSRxa1qru #websem14, #websem14,,24/09/2014 10:38:29
514702597396374000,neuromancien,vivement que Google fasse le job en fait #websem14, #websem14,,24/09/2014 10:07:16
514702047804154000,PonteIneptique,RT @spouyllau: Quelques ressources bibliographiques (pour un début) autour du websem en SHS https://t.co/uZTplFmhi7 #websem14, #websem14,@spouyllau,24/09/2014 10:05:05
514699301357105000,spouyllau,Sparqlons dans dbpedia fr #websem14 http://t.co/3tkFv0rmgr, #websem14 ,,24/09/2014 09:54:10
514699264162009000,aedaa,RT @spouyllau: Quelques ressources bibliographiques (pour un début) autour du websem en SHS https://t.co/uZTplFmhi7 #websem14, #websem14,@spouyllau,24/09/2014 09:54:01
514696495933981000,spouyllau,Découvrir SPARQL par l'exemple avec @rech_isidore http://t.co/iG4tKfwMWf #websem14 #sparql #3stores, #websem14 #sparql #3stores,@rech_isidore,24/09/2014 09:43:01
514696169097036000,mingarao,"#websem14 ""Soyez sympa mettez un LIMIT !""
SELECT DISTINCT ?predicat WHERE {?s a http://t.co/DW07ByDw9z; ?predicat ?o} LIMIT 100",#websem14 ,,24/09/2014 09:41:43
514695293368295000,Pepine,RT @spouyllau: Quelques ressources bibliographiques (pour un début) autour du websem en SHS https://t.co/uZTplFmhi7 #websem14, #websem14,@spouyllau,24/09/2014 09:38:15
514694618265690000,spouyllau,Quelques ressources bibliographiques (pour un début) autour du websem en SHS https://t.co/uZTplFmhi7 #websem14, #websem14,,24/09/2014 09:35:34
514693483077321000,mingarao,#websem14 http://t.co/jZ7ZY1RPVX et maintenant on va jouer avec http://t.co/LQv1WJqnOE #oué !,#websem14 #oué ,,24/09/2014 09:31:03
514693371554980000,neuromancien,RT @seeksanusername: Recommandation #W3C pour le #SPARQL http://t.co/maSa8yDe2n #websem14 #AgarderSousLeCoude, #W3C #SPARQL #websem14 #AgarderSousLeCoude,@seeksanusername,24/09/2014 09:30:36
514693020613349000,seeksanusername,Recommandation #W3C pour le #SPARQL http://t.co/maSa8yDe2n #websem14 #AgarderSousLeCoude, #W3C #SPARQL #websem14 #AgarderSousLeCoude,,24/09/2014 09:29:13
514693020613349000,seeksanusername,Recommandation #W3C pour le #SPARQL http://t.co/maSa8yDe2n #websem14 #AgarderSousLeCoude, #W3C #SPARQL #websem14 #AgarderSousLeCoude,,24/09/2014 09:29:13
514689602813444000,spouyllau,"Au delà du parcours de graphes avec #SPARQL, il nous faut d’autres commandes : trier par ex. #websem14", #SPARQL #websem14,,24/09/2014 09:15:38
514688949584155000,spouyllau,"En #SPARQL, le construit permet de récupérer ou de créer des triplets #RDF #websem14", #SPARQL #RDF #websem14,,24/09/2014 09:13:02
514688516312547000,seeksanusername,"En #SPARQL, quand ta variable est mentionnée dans le #SELECT, elle doit forcément être dans le #WHERE #websem14 #remember", #SPARQL #SELECT #WHERE #websem14 #remember,,24/09/2014 09:11:19
